the_geom,cartodb_id,name,line
0101000020E6100000384BC972128A0DC0A912656F29394440,240,Nuevos Ministerios,L10
0101000020E6100000DA1324B6BB870DC06B82A8FB00384440,241,Gregorio Marañón,L10
0101000020E6100000957CEC2E50920DC02BBEA1F0D9364440,242,Alonso Martínez,L10
0101000020E6100000ECD5C743DF9D0DC0B5C2F4BD86364440,243,Tribunal,L10
0101000020E61000002076A6D079AD0DC0B1DCD26A48364440,244,Plaza de España,L10
0101000020E610000011E2CAD93BC30DC0A359D93EE4354440,245,Príncipe Pío,L10
0101000020E61000000B8FFD2C96E20DC04A61DEE34C354440,246,Lago,L10
0101000020E6100000387EA83462060EC04941B79734344440,247,Batán,L10
0101000020E6100000B613252191160EC0A4DFBE0E9C334440,248,Casa de Campo,L10
0101000020E6100000B72407EC6A320EC05FAE450BD0324440,249,Colonia Jardín,L10
0101000020E610000068226C787A450EC07AD976DA1A314440,250,Aviación Española,L10
0101000020E61000002FBB270F0B550EC0DEE1766858304440,251,Cuatro Vientos,L10
0101000020E610000058207A5226750EC063E60297C72C4440,252,Joaquín Vilumbrales,L10
0101000020E6100000797764AC367F0EC0E126A3CA302C4440,253,Puerta del Sur,L10
0101000020E6100000063F7100FDBE0DC083893F8A3A314440,254,Plaza Elíptica,L11
0101000020E610000073309B00C3D20DC086376BF0BE304440,255,Abrantes,L11
0101000020E61000007E1CCD9195DF0DC0F2EF332E1C304440,256,Pan Bendito,L11
0101000020E610000010381268B0E90DC0ACFD9DEDD12F4440,257,San Francisco,L11
0101000020E61000008DB62A89EC030EC0B51666A19D2F4440,258,Carabanchel Alto    ,L11
0101000020E61000005E2BA1BB240E0EC0A94E07B29E2E4440,259,La Peseta,L11
0101000020E610000024BC3D0801390EC0D6C4025FD12D4440,260,La Fortuna,L11
0101000020E6100000E34EE960FD7F0EC014984EEB362C4440,261,Puerta del Sur,L12
0101000020E61000003A8A73D4D1910EC05B087250C22C4440,262,Parque Lisboa,L12
0101000020E61000002BBCCB457CA70EC0BAF94674CF2C4440,263,Alcorcón Central,L12
0101000020E610000037B1C05774CB0EC0897D0228462C4440,264,Parque Oeste,L12
0101000020E61000009372F7393EFA0EC0B4AA251DE52A4440,265,Universidad Rey J. Carlos,L12
0101000020E61000009AFEEC478AE80EC0C4EA8F300C2A4440,266,Móstoles Central,L12
0101000020E6100000910DA48B4DEB0EC03CF4DDAD2C294440,267,Pradillo,L12
0101000020E6100000AC90F2936AFF0EC0A4BF97C283284440,268,Hospital de Móstoles,L12
0101000020E610000050E3DEFC86E90EC0BD5296218E274440,269,Manuela Malasaña,L12
0101000020E610000077F700DD97B30EC037A968ACFD254440,270,Loranca,L12
0101000020E6100000359204E10A880EC0DE72F56393244440,271,Hospital de Fuenlabrada,L12
0101000020E6100000E90DF7915B730EC04162BB7B80244440,272,Parque Europa,L12
0101000020E61000002CD7DB662A640EC059BF99982E244440,273,Fuenlabrada Central,L12
0101000020E61000004B530438BD4B0EC0912C6002B7244440,274,Parque de los Estados,L12
0101000020E6100000A393A5D6FB0D0EC0350A4966F5244440,275,Arroyo Culebro,L12
0101000020E61000001A2E724F57F70DC0C6DFF60489254440,276,Conservatorio,L12
0101000020E610000058E1968FA4E40DC035B401D880264440,277,Alonso de Mendoza,L12
0101000020E61000006D37C1374DDF0DC09CA38E8EAB274440,278,Getafe Central,L12
0101000020E6100000B9490C022BC70DC076F69507E9274440,279,Juan de la Cierva,L12
0101000020E61000008C2B2E8ECAAD0DC0706072A3C8284440,280,El Casar,L12
0101000020E6100000E0D91EBDE1BE0DC0C45A7C0A80294440,281,Los Espartales,L12
0101000020E6100000CD599F724CD60DC07F1475E61E2A4440,282,El Bercial,L12
0101000020E61000000DA837A3E6EB0DC0BF64E3C1162B4440,283,El Carrascal,L12
0101000020E610000040F7E5CC76050EC0DE54A4C2D82A4440,284,Julián Besteiro,L12
0101000020E61000006155BDFC4E130EC061FC34EECD294440,285,Casa del Reloj,L12
0101000020E6100000426150A6D1240EC07B7BD7A02F294440,286,Hospital Severo Ochoa,L12
0101000020E61000007823F3C81F2C0EC09E95B4E21B2A4440,287,Leganés Central,L12
0101000020E6100000A702EE79FE340EC085B18520072B4440,288,San Nicasio,L12
0101000020E61000003ACB2C42B1550DC07D5D86FF743D4440,289,Pinar de Chamartín,ML1
0101000020E610000091442FA3584E0DC0DBDE6E490E3E4440,290,Fuente de la Mora,ML1
0101000020E610000043DD0720B5490DC0BC900E0F613E4440,291,Virgen del Cortijo,ML1
0101000020E6100000CB48BDA7723A0DC08FE3874A233E4440,292,Antonio Saura,ML1
0101000020E61000008F8CD5E6FF350DC099B33EE5983E4440,293,Álvarez de Villaamil,ML1
0101000020E610000018EAB0C22D3F0DC087F546AD303F4440,294,Blasco Ibáñez,ML1
0101000020E6100000ACC43C2B69450DC08F705AF0A23F4440,295,María Tudor,ML1
0101000020E6100000FD1873D712520DC03AB187F6B1404440,296,Palas de Rey,ML1
0101000020E6100000706072A3C85A0DC05DD72FD80D414440,297,Las Tablas,ML1
0101000020E6100000AD70CB4752320EC02F2AA913D0324440,298,Colonia Jardín,ML2
0101000020E6100000501C40BFEF3F0EC001C11C3D7E334440,299,Prado de la Vega,ML2
0101000020E610000033FB3C4679460EC0145E82531F344440,300,Colonia de los Ángeles,ML2
0101000020E6100000946A9F8EC74C0EC0B91798158A344440,301,Prado del Rey,ML2
0101000020E61000008D4468041B570EC014950D6B2A354440,302,Somosaguas Sur,ML2
0101000020E61000008102EFE4D3630EC012A0A696AD354440,303,Somosaguas Centro,ML2
0101000020E6100000F0C34142946F0EC0F8FD9B1727364440,304,Pozuelo Oeste,ML2
0101000020E610000028081EDFDE750EC044300E2E1D374440,305,Bélgica,ML2
0101000020E610000072C5C551B9690EC02AC93A1C5D374440,306,Dos Castillas,ML2
0101000020E610000006D847A7AE5C0EC0B6F3FDD478374440,307,Campus de Somosaguas,ML2
0101000020E61000004CDD955D30580EC0FF907EFB3A384440,308,Avenida de Europa,ML2
0101000020E61000000EB743C362540EC0D89DEE3CF1384440,309,Berna,ML2
0101000020E6100000997CB3CD8D490EC0E509849D62394440,310,Estación de Aravaca,ML2
0101000020E61000005CE0F25833320EC02F2AA913D0324440,311,Colonia Jardín,ML3
0101000020E61000000DC68844A1450EC046EA3D95D3324440,312,Ciudad de la Imagen,ML3
0101000020E6100000FD6A0E10CC510EC06B63EC8497324440,313,José Isbert,ML3
0101000020E610000027DC2BF3565D0EC0A16AF46A80324440,314,Ciudad del Cine,ML3
0101000020E610000031B77BB94F6E0EC0FC5069C4CC324440,315,Cocheras,ML3
0101000020E61000007347FFCBB5880EC018C748F608334440,316,Retamares,ML3
0101000020E6100000A59E05A1BCAF0EC0AF3E1EFAEE324440,317,Montepríncipe,ML3
0101000020E6100000F8FC304278B40EC006137F1475324440,318,Ventorro del Cano,ML3
0101000020E6100000B9C7D2872EC80EC0B6476FB88F324440,319,Prado del Espino,ML3
0101000020E61000008DD2A57F49EA0EC0E75086AA98324440,320,Cantabria,ML3
0101000020E6100000842C0B26FE080FC059BBED4273334440,321,Ferial de Boadilla,ML3
0101000020E6100000158BDF14560A0FC0399CF9D51C344440,322,Boadilla Centro,ML3
0101000020E61000001D0247020D160FC0460A65E1EB334440,323,Nuevo Mundo,ML3
0101000020E6100000D206600322240FC0C0ED0912DB334440,324,Siglo XXI,ML3
0101000020E6100000CB845FEAE72D0FC052094FE8F5334440,325,Infante Don Luís,ML3
0101000020E6100000645A9BC6F63A0FC0AAB184B531344440,326,Puerta de Boadilla,ML3
