the_geom,amenity,name,cartodb_id
0101000020E61000000FA782401D950DC0EE0B433FAE344440,restaurant,Fuente de la Fama,115
0101000020E61000007D4BEFD1D1900DC07DE882FA96344440,pub,Casablanca,116
0101000020E6100000CFE1B5A6D4900DC0A3A53C049F344440,restaurant,A Cañada,117
0101000020E61000001EFEF565C4900DC08BDD3EABCC344440,pub,La Tabernita de San Juan,119
0101000020E61000002FB65A71BB910DC0C871F101CB344440,bar,Fever,120
0101000020E6100000E3C7F37409920DC0637E6E68CA344440,restaurant,Arrocería Gala,121
0101000020E6100000E19524CFF58D0DC082A6CA9CD3344440,pub,La Platería,123
0101000020E6100000FE56FCF03D8D0DC065EC3A0AC6344440,restaurant,El Fogón Verde,125
0101000020E6100000764E588748920DC091BF0F62C2334440,pub,Coquetería Ven y verás,180
0101000020E61000005450F63BB98B0DC02460747973344440,nightclub,Teatro Kapital,127
0101000020E6100000C68A1A4CC3900DC00F5542C1D6344440,bar,La Hidria,128
0101000020E6100000B9F0CD80C4900DC08F6335A7DC344440,bar,La Esquina,129
0101000020E610000034F790F0BD8F0DC001AC448FCE344440,pub,La Fetén,130
0101000020E6100000FA5289FC448F0DC0C6D5123CCF344440,pub,D'Bóveda,131
0101000020E61000006E0DB6227B8E0DC04B598638D6344440,pub,Café-Bar Roda,133
0101000020E6100000BB4D6ECACB900DC09EB64604E3344440,bar,El Diario,134
0101000020E6100000CEA4F21BCB900DC0C0E556ADF1344440,bar,La Fábrica,135
0101000020E61000002BB528FDCE900DC0E0803BF5ED344440,bar,Los Gatos,136
0101000020E6100000215B96AFCB900DC0EE6EAF16E9344440,bar,La Anchoíta,137
0101000020E6100000CB64389ECF900DC0C3CF2456EB344440,restaurant,El Rábano,138
0101000020E61000001DEB3DF08C910DC0DE2C149FF1344440,restaurant,Terra Mundi,140
0101000020E6100000242FC61BF4900DC023CD6960F5344440,pub,Taberna de la Dolores,141
0101000020E6100000CCF8AD8CFC900DC01D9DA9C601354440,bar,Taberna de la Daniela,142
0101000020E6100000BCBCEFCE90900DC012AA2FA6F4344440,pub,Granja Blanca,144
0101000020E61000007D19315816910DC0DA907F6610354440,pub,La Taberna de Jose,145
0101000020E610000068B922E7B3920DC05F3821BE5D354440,restaurant,Edelweiss,147
0101000020E6100000202345099F920DC049C3842C66354440,restaurant,El Secreto de Castilla,148
0101000020E61000005E42AACDA4920DC06A87BF266B354440,restaurant,Asador Sagardi,149
0101000020E6100000F79562A29C930DC02588049D5A354440,pub,Bar,150
0101000020E61000009D9328C5D8930DC06D205D6C5A354440,restaurant,Vegetariano,151
0101000020E610000010560850F8910DC0F31A608B82354440,cinema,Cine Estudio,152
0101000020E6100000E24680892E9E0DC01AD76432C1334440,pub,Fórmula Nietos,155
0101000020E610000024B149230B9D0DC026039BCEA9334440,pub,La Cuadra,156
0101000020E610000044A51133FB9C0DC01C333FEDA6334440,fast_food,Döner Kebab,157
0101000020E6100000CC8F0942C39C0DC0CA38A16BBA334440,pub,Los chiquitos,159
0101000020E6100000B50AAC2D869C0DC08C193CA7B4334440,pub,Bar Díaz,160
0101000020E610000073B0485D7C9B0DC08907944DB9334440,restaurant,La Amistad II,161
0101000020E6100000AC27A902A49C0DC0A8323102CF334440,restaurant,A Cañada,162
0101000020E6100000060DA25AE99A0DC025FD625BAB334440,pub,Indalo,165
0101000020E61000001CEC4D0CC9990DC06B8313D1AF334440,pub,El Encuentro,166
0101000020E610000011D43ABBC6980DC072D6F1A9AD334440,pub,El Valle,167
0101000020E61000001B58D81D9C990DC0A4D1D336B4334440,nightclub,Sala Caracol,168
0101000020E61000006905E165E1960DC0B7FB0BF3D4334440,restaurant,Hnos Valdivieso,169
0101000020E6100000C8CCAA741C940DC06BCFD14FDD334440,restaurant,Hong,170
0101000020E610000037662321DB930DC044F23A87D7334440,pub,Granadilla,171
0101000020E6100000613024CC59940DC0E22EB1E88C334440,fast_food,Telepizza,172
0101000020E61000004EA72B8EB9910DC0C461C499BA334440,atm,Servired,174
0101000020E610000086AA984A3F910DC041F33977BB334440,pub,Bar,175
0101000020E6100000CE2DBEB21C920DC009B1E9F7B3334440,fast_food,Döner Kebab,176
0101000020E61000005ADA04734F920DC04018D3A7B0334440,pub,Bar,177
0101000020E6100000680355489E900DC038B1D183CC334440,pub,Bar,178
0101000020E6100000DB1434D2F78F0DC09746825FD9334440,restaurant,Restaurante Chino,179
0101000020E6100000DA26704628910DC0E08E26CDD5334440,atm,Servired,182
0101000020E61000009026288FB8910DC07735D483DD334440,nightclub,Europa Latina,183
0101000020E6100000CE01DDF2EC8D0DC01D7D27C1763E4440,atm,Servired,184
0101000020E6100000ACDD1BE8468D0DC0A1815836733E4440,atm,Servired,185
0101000020E6100000A4CA8BA779B20DC082493B7F24354440,pub,La Mayor,186
0101000020E6100000F4AF9B08D1B00DC02BE510CC2C354440,restaurant,Tapería Mayor,188
0101000020E6100000BF0CC68844B10DC086CCF0FA27354440,restaurant,Arcade,189
0101000020E6100000ACF2F395F6AC0DC085926EF02A354440,restaurant,Taste Gallery,192
0101000020E610000011E335AFEAAC0DC0F76D2D3828354440,atm,Telebanco 4B,193
0101000020E6100000BC85BF70F8AE0DC08651B5824B354440,restaurant,Taberneros,195
0101000020E6100000D875B9D27CAF0DC0312D454D4F354440,restaurant,Arbonaida,196
0101000020E61000006B49473998AD0DC0C74B378941354440,pub,The Cavern,197
0101000020E61000002D8FDA6910AB0DC00208C49041354440,bar,Velicia,198
0101000020E61000006B47718E3AAA0DC086EC174740354440,atm,Telebanco 4B,199
0101000020E6100000FC0CB963FBAA0DC0168CA5A377354440,atm,Servired,200
0101000020E6100000B251312999A70DC0798C971359354440,cafe,Chocolatería San Ginés,201
0101000020E6100000789D68B2DAA70DC0524DA48F54354440,pub,Yambala,202
0101000020E610000013398E69B7A70DC0DAC5D9194B354440,atm,Servired,203
0101000020E610000077BF0AF0DDA60DC0B4C12E2F65354440,nightclub,Joy Eslava,204
0101000020E6100000EB79ED88F9A80DC0676BD84A43354440,restaurant,Grazie Mille,205
0101000020E61000001AEC3CE070A50DC0D101EE1E45354440,atm,Telebanco 4B,208
0101000020E61000008963B895B9A40DC0E56D5B4A4C354440,atm,Telebanco 4B,209
0101000020E61000009B8D3ADFF4A30DC0B4EE7AC443354440,fast_food,Burger King,210
0101000020E61000006116DA39CDA20DC07821C2644F354440,fast_food,KFC,211
0101000020E6100000B23511ECAEA20DC0E31934F44F354440,atm,Servired,212
0101000020E610000075D8333AD6AB0DC08DA262F778354440,fast_food,opera:pizza,213
0101000020E61000002FDCB930D29B0DC08B146F0965344440,pub,Shisha-Tetería Babilonia,267
0101000020E6100000C6FF780A14AC0DC0B3017DC795354440,restaurant,Entre suspiro y suspiro,215
0101000020E6100000F3DF281EBCAB0DC09D2743FA92354440,restaurant,La Vaca Argentina,216
0101000020E61000009C8713984EAB0DC06EDA311A9E354440,bar,Discoteca Olimpia,217
0101000020E61000007C540D0C6AA90DC01AE8908AB5354440,restaurant,Wok King,218
0101000020E6100000002B76EA80AA0DC0A76730FC96354440,restaurant,Taberna de los Ángeles,220
0101000020E61000001BC7FE68EEA70DC0B4D43032B7354440,restaurant,Lizarran,221
0101000020E6100000A6608DB3E9A80DC0444A58C0A9354440,pub,Cervercería Erte,222
0101000020E6100000B6F63E5585A60DC00B8C063AA4354440,pub,Doña Juana cervecería,224
0101000020E610000064833B061AA20DC0996D026784354440,atm,Telebanco 4B,226
0101000020E6100000B3237ABE0BA00DC00F0EF62686354440,restaurant,El Gaucho,227
0101000020E6100000907351E3949F0DC00F7F4DD6A8354440,restaurant,Artemisa,229
0101000020E61000004D58D1D50C9F0DC093C83EC8B2354440,theatre,Teatro Príncipe Gran Vía,230
0101000020E6100000858ABB8B41A10DC0790CEAB69F354440,restaurant,Takos Al Pastor,231
